,sigla,uf,regiao
0,RO,Rondônia,Norte
1,AC,Acre,Norte
2,AM,Amazonas,Norte
3,RR,Roraima,Norte
4,PA,Pará,Norte
5,AP,Amapá,Norte
6,TO,Tocantins,Norte
7,MA,Maranhão,Nordeste
8,PI,Piauí,Nordeste
9,CE,Ceará,Nordeste
10,RN,Rio Grande do Norte,Nordeste
11,PB,Paraíba,Nordeste
12,PE,Pernambuco,Nordeste
13,AL,Alagoas,Nordeste
14,SE,Sergipe,Nordeste
15,BA,Bahia,Nordeste
16,MG,Minas Gerais,Sudeste
17,ES,Espírito Santo,Sudeste
18,RJ,Rio de Janeiro,Sudeste
19,SP,São Paulo,Sudeste
20,PR,Paraná,Sul
21,SC,Santa Catarina,Sul
22,RS,Rio Grande do Sul,Sul
23,MS,Mato Grosso do Sul,Centro-Oeste
24,MT,Mato Grosso,Centro-Oeste
25,GO,Goiás,Centro-Oeste
26,DF,Distrito Federal,Centro-Oeste
